,setup,model,mse,predictors,correlation,sens,spec,prec,params
1,Setup 1,enet,122.700724804,403,0.818834596297,1.0,0.290513833992,0.109181141439,"alpha=1.04672808601, l1_ratio=0.1"
6,Setup 2,enet,43.8031908455,356,0.605193369752,1.0,0.383399209486,0.123595505618,"alpha=0.55281569879, l1_ratio=0.1"
11,Setup 3,enet,28.8491002635,317,0.666397304915,1.0,0.442965779468,0.0757097791798,"alpha=0.611928862149, l1_ratio=0.1"
16,Setup 4,enet,20.3384118295,313,0.559638151414,0.875,0.444866920152,0.0670926517572,"alpha=0.367401981896, l1_ratio=0.1"
2,Setup 1,gblasso,628.065455605,550,0.668576242685,1.0,0.0,0.08,"gamma=3.0, lambda=100.0"
7,Setup 2,gblasso,224.687111202,550,0.456984622696,1.0,0.0,0.08,"gamma=2.0, lambda=0.1"
12,Setup 3,gblasso,247.695633141,550,0.537590757557,1.0,0.0,0.0436363636364,"gamma=2.0, lambda=1.0"
17,Setup 4,gblasso,180.698173021,550,0.430707045424,1.0,0.0,0.0436363636364,"gamma=2.0, lambda=1000.0"
3,Setup 1,grace,0.445655439094,229,0.999555080008,1.0,0.634387351779,0.192139737991,"lambda 1=1.0, lambda 2=10.0"
8,Setup 2,grace,30.9107504965,440,0.731217123754,1.0,0.217391304348,0.1,"lambda 1=0.01, lambda 2=0.1"
13,Setup 3,grace,1.73224978252,213,0.874072965952,1.0,0.640684410646,0.112676056338,"lambda 1=10.0, lambda 2=100.0"
18,Setup 4,grace,9.0496229464,373,0.723243467087,0.958333333333,0.334600760456,0.0616621983914,"lambda 1=0.1, lambda 2=1.0"
4,Setup 1,lasso,4.6532745401,93,0.944493813491,0.977272727273,0.901185770751,0.462365591398,alpha=0.0181089518682
9,Setup 2,lasso,16.1044465462,80,0.780536088822,0.613636363636,0.895256916996,0.3375,alpha=0.103587568802
14,Setup 3,lasso,0.253904950121,91,0.998670411977,0.625,0.855513307985,0.164835164835,alpha=0.0113090803103
19,Setup 4,lasso,4.12775501598,67,0.838877921318,0.541666666667,0.897338403042,0.194029850746,alpha=0.112717224649
0,Setup 1,linf,0.933292213394,550,0.998760792856,1.0,0.0,0.08,C=55.0
5,Setup 2,linf,20.1464567486,550,0.749714564511,1.0,0.0,0.08,C=35.0
10,Setup 3,linf,2.65193970604,550,0.863669721752,1.0,0.0,0.0436363636364,C=35.0
15,Setup 4,linf,8.14694688819,550,0.679940351998,1.0,0.0,0.0436363636364,C=60.0
